# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles:P'
# Event count (approx.): 27400219282
#
# Children      Self  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     IPC   [IPC Coverage]
# ........  ........  .........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     5.38%     0.00%  [.] _RNvMs0_NtNtNtCseBKpjZF5NJu_5tokio7runtime4task7harnessINtB5_7HarnessNCNvCs1cJ15fPgXk8_12phase0_bench11writer_loop0INtNtCs69KKACWg7bl_5alloc4sync3ArcNtNtNtNtB9_9scheduler12multi_thread6handle6HandleEE4pollB18_                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     5.21%     0.09%  [.] _RNvMs4_NtNtNtCseBKpjZF5NJu_5tokio7runtime4task4coreINtB5_4CoreNCNvCs1cJ15fPgXk8_12phase0_bench11writer_loop0INtNtCs69KKACWg7bl_5alloc4sync3ArcNtNtNtNtB9_9scheduler12multi_thread6handle6HandleEE4pollB12_                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     5.12%     0.35%  [.] _RINvMs9_NtCs1XYOvoGgSXZ_12dodb_storage5blinkNtB6_19GenerationPublisher13prepare_deltaNtB6_17WorkingBlinkStateECs1cJ15fPgXk8_12phase0_bench                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     5.09%     0.30%  [.] _RNCNvCs1cJ15fPgXk8_12phase0_bench11writer_loop0B3_.llvm.3418754717791975846                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -            
     5.03%     5.03%  [.] memcmp                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     4.71%     0.66%  [.] _RNvNtCseF7wFJMXWaf_6crc32c10hw_aarch646crc32c                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     4.24%     0.25%  [.] _RNvMNtNtNtNtCsfr5T3GFabw_3std3sys3pal4unix4timeNtB2_8Timespec3now                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     4.05%     3.66%  [.] _RNvNtCs1XYOvoGgSXZ_12dodb_storage3wal17encode_page_delta                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     4.04%     4.04%  [.] _RINvYINtNtNtCskxtBwYRO61I_4core5slice4iter6ChunksNtNtCseF7wFJMXWaf_6crc32c4util5U64LeENtNtNtNtBa_4iter6traits8iterator8Iterator4foldmNCNvNtBP_10hw_aarch6417crc_u64_parallel30EBP_                                                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     4.01%     0.29%  [.] _RNvNtCs1XYOvoGgSXZ_12dodb_storage5blink26apply_cached_leaf_mutation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     3.99%     0.15%  [.] _RNvNtCs1XYOvoGgSXZ_12dodb_storage5blink16leaf_body_layout.llvm.4113975793476467995                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     3.86%     0.22%  [.] clock_gettime@@GLIBC_2.17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     3.86%     0.10%  [.] realloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -            
     3.69%     0.41%  [.] _RNvNtCs1XYOvoGgSXZ_12dodb_storage5blink18ensure_sorted_leaf                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -            
     3.67%     0.12%  [.] _RNvMsn_NtCs69KKACWg7bl_5alloc4syncINtB5_3ArcNtNtCs1XYOvoGgSXZ_12dodb_storage5blink8PageCellE9drop_slowBK_                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -            
     3.58%     0.08%  [.] _RNvXs1H_NtCs1XYOvoGgSXZ_12dodb_storage5blinkNtB6_9BlinkPageNtNtCskxtBwYRO61I_4core5clone5Clone5clone                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     3.52%     0.04%  [.] _RINvYINtNtNtNtCs69KKACWg7bl_5alloc11collections5btree3map4IterNtNtCs6n33w9kep8v_9dodb_core11identifiers6PageIdAhj1000_ENtNtNtNtCskxtBwYRO61I_4core4iter6traits8iterator8Iterator4folduNCINvNtNtB1Z_8adapters6filter11filter_foldTRBY_RB1K_EuNCNvMsc_NtCs1XYOvoGgSXZ_12dodb_storage5blinkINtB3U_10BlinkStoreNtCs1cJ15fPgXk8_12phase0_bench9BenchFileB4N_E30apply_serial_transaction_groupsa_0NCINvNtB31_3map8map_foldB3A_TBY_B1K_EuNCB3O_sb_0NCINvNvB1T_8for_each4callB6y_NCINvXs1p_B6_INtB6_8BTreeMapBY_B1K_EINtNtB1X_7collect6ExtendB6y_E6extendINtB6b_3MapINtB2Z_6FilterB3_B3M_EB6I_EE0E0E0E0EB4P_  -      -            
     3.42%     0.06%  [.] _int_realloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -            
     3.17%     0.09%  [.] _RNvXsa_NtCs69KKACWg7bl_5alloc3vecINtB5_3VecNtNtCs1XYOvoGgSXZ_12dodb_storage5blink9LeafEntryENtNtCskxtBwYRO61I_4core5clone5Clone5cloneBJ_                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     3.14%     0.01%  [.] _RINvNtCs1XYOvoGgSXZ_12dodb_storage3wal20write_all_at_countedNtCs1cJ15fPgXk8_12phase0_bench9BenchFileEBY_                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     3.13%     0.00%  [.] _RNvXs_NtCs1XYOvoGgSXZ_12dodb_storage12durable_fileNtB4_14ProductionFileNtB4_11DurableFile8write_at                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     3.09%     0.00%  [.] _RINvNtCskxtBwYRO61I_4core3ptr9drop_glueNtNtCs1XYOvoGgSXZ_12dodb_storage5blink9BlinkPageECs1cJ15fPgXk8_12phase0_bench                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     3.06%     0.01%  [.] _RNvXsb_NtCsfr5T3GFabw_3std2fsNtB5_4FileNtNtB7_2io5Write5write                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     3.05%     0.02%  [.] _RNvMsn_NtCs69KKACWg7bl_5alloc4syncINtB5_3ArcNtNtCs1XYOvoGgSXZ_12dodb_storage5blink9BlinkPageE9drop_slowBK_                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     3.04%     0.01%  [.] __GI___libc_write                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     3.01%     0.00%  [k] 0xffffc96736f134c4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     3.01%     0.00%  [k] 0xffffc96736f135ac                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     3.00%     0.00%  [k] 0xffffc96736f13018                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     2.96%     0.00%  [k] 0xffffc966e067890c                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     2.94%     0.00%  [.] _RNvMs5_NtCs69KKACWg7bl_5alloc7raw_vecNtB5_11RawVecInner11finish_growCs1cJ15fPgXk8_12phase0_bench.llvm.8400474318337820899                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -            
     2.79%     0.51%  [.] _RINvNtCskxtBwYRO61I_4core3ptr9drop_glueNtNtCs1XYOvoGgSXZ_12dodb_storage5blink9BlinkPageEBF_.llvm.7894969594184814501                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     2.75%     2.20%  [.] malloc_consolidate                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     2.68%     0.40%  [.] _RNvXso_NtCs69KKACWg7bl_5alloc3vecINtB5_3VecNtNtCs1XYOvoGgSXZ_12dodb_storage5blink9LeafEntryENtNtNtCskxtBwYRO61I_4core3ops4drop4Drop4dropCs1cJ15fPgXk8_12phase0_bench                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     2.63%     0.00%  [.] _RNvMs4_NtCs69KKACWg7bl_5alloc7raw_vecINtB5_6RawVecNtNtCs6n33w9kep8v_9dodb_core11transaction19TransactionMutationE8grow_oneCs1cJ15fPgXk8_12phase0_bench                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -            
     2.49%     0.03%  [.] _RINvMsN_NtNtNtCs69KKACWg7bl_5alloc11collections5btree4nodeINtB6_6HandleINtB6_7NodeRefNtNtB6_6marker3MutNtNtCs6n33w9kep8v_9dodb_core11identifiers6PageIdAhj1000_NtB1n_4LeafENtB1n_4EdgeE16insert_recursingNtNtBc_5alloc6GlobalNCNvMs4_NtNtB8_3map5entryINtB3F_11VacantEntryB1D_B2p_E12insert_entry0ECs1cJ15fPgXk8_12phase0_bench                                                                                                                                                                                                                                                                       -      -            
     2.42%     2.38%  [.] _RNvMs0_NtCs6n33w9kep8v_9dodb_core3keyNtB5_11DocumentKey16validate_encoded                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -            
     2.41%     0.01%  [.] _RNvMs2_NtCsfr5T3GFabw_3std2fsNtB5_4File9sync_data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     2.41%     0.00%  [.] _RNvXs_NtCs1XYOvoGgSXZ_12dodb_storage12durable_fileNtB4_14ProductionFileNtB4_11DurableFile9sync_data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     2.37%     0.03%  [.] fdatasync                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     2.34%     0.05%  [.] _RNvMs8_Cs1cJ15fPgXk8_12phase0_benchNtB5_17WorkloadGenerator16next_transaction                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     2.26%     0.13%  [.] _RNvMNtCsfr5T3GFabw_3std4timeNtB2_7Instant7elapsed                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     2.21%     0.00%  [k] 0xffffc96736f7bd48                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     2.20%     0.00%  [k] 0xffffc96736f7b904                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     2.20%     0.00%  [k] 0xffffc96736f7bc2c                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     2.15%     0.00%  [k] 0xffffc966e0679a7c                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     2.07%     0.00%  [.] _RINvNtCskxtBwYRO61I_4core3ptr9drop_glueNtNtCs1XYOvoGgSXZ_12dodb_storage5blink9BatchPlanECs1cJ15fPgXk8_12phase0_bench                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     2.04%     0.00%  [k] 0xffffc966e062a674                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     2.02%     0.00%  [k] 0xffffc966e06343b4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     1.86%     0.21%  [.] _RINvNtCskxtBwYRO61I_4core3ptr9drop_glueNtNtCs1XYOvoGgSXZ_12dodb_storage5blink23PhysicalTransactionPlanECs1cJ15fPgXk8_12phase0_bench.llvm.4278208895097857304                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -            
     1.72%     0.00%  [k] 0xffffc966e0633dc8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     1.69%     1.67%  [.] __GI___memmove_simd                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     1.65%     0.00%  [k] 0xffffc966e0501a84                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     1.65%     0.00%  [k] 0xffffc966e0629194                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     1.58%     1.58%  [.] __aarch64_swp4_rel                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     1.55%     0.00%  [.] _RNvXs_NtNtCs69KKACWg7bl_5alloc3vec21spec_from_iter_nestedINtB6_3VecNtNtCs6n33w9kep8v_9dodb_core11transaction19TransactionMutationEINtB4_18SpecFromIterNestedB13_INtNtNtNtCskxtBwYRO61I_4core4iter8adapters3map3MapINtNtB2D_9enumerate9EnumerateINtNtNtB2H_5slice4iter4IterNtNtB17_3key11DocumentKeyEENCNvMs8_Cs1cJ15fPgXk8_12phase0_benchNtB4P_17WorkloadGenerator16next_transaction0EE9from_iterB4P_                                                                                                                                                                                                 -      -            
     1.53%     0.30%  [.] _RNCNvXsd_Cs1cJ15fPgXk8_12phase0_benchNtB7_12BlinkAdapterNtB7_13EngineAdapter19execute_transaction0B7_                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -            


#
# (Tip: For a higher level overview, try: perf report --sort comm,dso)
#
